row_no,user_id,amount,merchant_id,merchant_name,mcc_code,timestamp,latitude,longitude,country,device_id
1,054a8368-caf8-44cb-85df-12d9256a8ff2,21600,MCH-c563ceac18,맥도날드,5814,2026-05-26 11:25:00,36.478578,128.355636,KR,DEV-a104864052
2,054a8368-caf8-44cb-85df-12d9256a8ff2,261000,MCH-53b4838ce6,어도비(Adobe),5734,2026-05-27 18:17:00,36.433745,128.362597,KR,DEV-a104864052
3,054a8368-caf8-44cb-85df-12d9256a8ff2,19800,MCH-c563ceac18,맥도날드,5814,2026-05-28 14:14:00,36.449263,128.376388,KR,DEV-a104864052
4,054a8368-caf8-44cb-85df-12d9256a8ff2,17640,MCH-5df4849ce1,지하철,4111,2026-05-28 21:51:00,36.479942,128.392661,KR,DEV-a104864052
5,054a8368-caf8-44cb-85df-12d9256a8ff2,32400,MCH-e7751d42a2,올리브영,5977,2026-05-29 20:59:00,36.470101,128.356289,KR,DEV-b31a584c6e
6,054a8368-caf8-44cb-85df-12d9256a8ff2,5490,MCH-0d60345572,버스,4111,2026-05-30 11:39:00,36.47855,128.363211,KR,DEV-a104864052
7,054a8368-caf8-44cb-85df-12d9256a8ff2,99000,MCH-bed94775b8,패스트파이브,7011,2026-05-31 19:50:00,36.468861,128.384828,KR,DEV-a104864052
8,054a8368-caf8-44cb-85df-12d9256a8ff2,22500,MCH-a5c765e6ce,프리스비,5732,2026-05-31 21:22:00,36.452021,128.392583,KR,DEV-a104864052
9,054a8368-caf8-44cb-85df-12d9256a8ff2,20700,MCH-8e35d3c146,김밥천국,5812,2026-06-03 18:50:00,36.438683,128.374456,KR,DEV-a104864052
10,054a8368-caf8-44cb-85df-12d9256a8ff2,3870,MCH-5df4849ce1,지하철,4111,2026-06-04 08:22:00,36.455062,128.360032,KR,DEV-a104864052
11,054a8368-caf8-44cb-85df-12d9256a8ff2,10800,MCH-8e35d3c146,김밥천국,5812,2026-06-04 08:42:00,36.458499,128.370748,KR,DEV-a104864052
12,054a8368-caf8-44cb-85df-12d9256a8ff2,3690,MCH-5df4849ce1,지하철,4111,2026-06-05 10:39:00,36.461871,128.385983,KR,DEV-a104864052
13,054a8368-caf8-44cb-85df-12d9256a8ff2,189000,MCH-8fff18fdd2,노션,7372,2026-06-05 13:03:00,36.438632,128.39167,KR,DEV-a104864052
14,054a8368-caf8-44cb-85df-12d9256a8ff2,13410,MCH-06553b267c,카카오택시,4121,2026-06-06 10:26:00,36.452745,128.38983,KR,DEV-a104864052
15,054a8368-caf8-44cb-85df-12d9256a8ff2,50000,MCH-cf62dbb6a8,게임아이템_스토어,7994,2026-06-07 15:09:00,36.437554,128.37082,KR,DEV-a104864052
16,054a8368-caf8-44cb-85df-12d9256a8ff2,50000,MCH-cf62dbb6a8,게임아이템_스토어,7994,2026-06-07 15:10:00,36.437554,128.37082,KR,DEV-a104864052
17,054a8368-caf8-44cb-85df-12d9256a8ff2,50000,MCH-cf62dbb6a8,게임아이템_스토어,7994,2026-06-07 15:11:00,36.437554,128.37082,KR,DEV-a104864052
18,054a8368-caf8-44cb-85df-12d9256a8ff2,53100,MCH-ba944121a3,무신사,5651,2026-06-08 09:29:00,36.445934,128.374058,KR,DEV-a104864052
19,054a8368-caf8-44cb-85df-12d9256a8ff2,9270,MCH-0d60345572,버스,4111,2026-06-08 10:15:00,36.436678,128.38122,KR,DEV-a104864052
20,054a8368-caf8-44cb-85df-12d9256a8ff2,4320,MCH-06553b267c,카카오택시,4121,2026-06-08 11:13:00,36.462978,128.357986,KR,DEV-a104864052
21,054a8368-caf8-44cb-85df-12d9256a8ff2,650000,MCH-96930209b1,Amazon_US,5942,2026-06-10 00:56:00,36.478804,128.368928,UK,DEV-a104864052
22,054a8368-caf8-44cb-85df-12d9256a8ff2,13500,MCH-e7751d42a2,올리브영,5977,2026-06-13 17:21:00,36.470448,128.358051,KR,DEV-a104864052
23,054a8368-caf8-44cb-85df-12d9256a8ff2,12690,MCH-5b1162a765,KTX,4112,2026-06-13 18:22:00,36.44016,128.341806,KR,DEV-a104864052
24,054a8368-caf8-44cb-85df-12d9256a8ff2,89100,MCH-e7751d42a2,올리브영,5977,2026-06-16 13:58:00,36.471089,128.390176,KR,DEV-a104864052
25,054a8368-caf8-44cb-85df-12d9256a8ff2,8100,MCH-8e35d3c146,김밥천국,5812,2026-06-16 15:11:00,36.441623,128.362795,KR,DEV-a104864052
26,054a8368-caf8-44cb-85df-12d9256a8ff2,261000,MCH-8fff18fdd2,노션,7372,2026-06-16 19:08:00,36.479857,128.34615,KR,DEV-a104864052
27,054a8368-caf8-44cb-85df-12d9256a8ff2,11610,MCH-5b1162a765,KTX,4112,2026-06-17 12:02:00,36.459239,128.355996,KR,DEV-a104864052
28,054a8368-caf8-44cb-85df-12d9256a8ff2,8100,MCH-5df4849ce1,지하철,4111,2026-06-17 17:55:00,36.436117,128.366832,KR,DEV-a104864052
29,054a8368-caf8-44cb-85df-12d9256a8ff2,74700,MCH-e7751d42a2,올리브영,5977,2026-06-18 13:28:00,36.467984,128.387259,KR,DEV-a104864052
30,054a8368-caf8-44cb-85df-12d9256a8ff2,16380,MCH-5df4849ce1,지하철,4111,2026-06-18 17:28:00,36.443871,128.345462,KR,DEV-a104864052
31,054a8368-caf8-44cb-85df-12d9256a8ff2,17100,MCH-8e35d3c146,김밥천국,5812,2026-06-18 18:09:00,36.432286,128.381126,KR,DEV-a104864052
